drawNumber,drawDate,drawDateTime,drawName,drawSize,drawCRS,drawText2,drawCutOff,drawDistributionAsOn,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18
347,2025-05-13,"May 13, 2025 at 14:57:30 UTC",Canadian Experience Class,500,547,Canadian Experience Class,"May 21, 2024 at 17:26:27 UTC","May 13, 2025",28,"22,435","73,741","12,429","12,704","16,641","16,691","15,276","69,673","14,439","15,241","13,718","13,589","12,686","53,684","22,069","8,452","250,082"
346,2025-05-12,"May 12, 2025 at 14:14:40 UTC",Provincial Nominee Program,511,706,Provincial Nominee Program,"March 04, 2025 at 22:35:42 UTC","May 12, 2025",513,"22,316","73,582","12,399","12,663","16,612","16,663","15,245","69,467","14,401","15,200","13,675","13,552","12,639","53,598","22,051","8,442","249,969"
345,2025-05-02,"May 02, 2025 at 16:14:46 UTC",Healthcare and social services occupations (Version 2),500,510,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","July 21, 2024 at 04:31:17 UTC","April 27, 2025",416,"20,708","72,523","12,291","12,544","16,411","16,313","14,964","68,267","14,230","14,909","13,385","13,274","12,469","53,640","22,553","8,566","246,673"
344,2025-05-01,"May 01, 2025 at 16:02:30 UTC",Education occupations (Version 1),"1,000",479,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","August 10, 2024 at 10:35:55 UTC","April 27, 2025",416,"20,708","72,523","12,291","12,544","16,411","16,313","14,964","68,267","14,230","14,909","13,385","13,274","12,469","53,640","22,553","8,566","246,673"
343,2025-04-28,"April 28, 2025 at 14:18:27 UTC",Provincial Nominee Program,421,727,Provincial Nominee Program,"September 09, 2024 at 17:11:19 UTC","April 27, 2025",416,"20,708","72,523","12,291","12,544","16,411","16,313","14,964","68,267","14,230","14,909","13,385","13,274","12,469","53,640","22,553","8,566","246,673"
342,2025-04-14,"April 14, 2025 at 13:49:47 UTC",Provincial Nominee Program,825,764,Provincial Nominee Program,"August 17, 2024 at 18:35:52 UTC","April 13, 2025",816,"19,782","71,542","12,093","12,359","16,215","16,189","14,686","67,301","14,131","14,740","13,084","13,020","12,326","53,479","22,799","8,563","244,282"
341,2025-03-21,"March 21, 2025 at 14:41:58 UTC",French language proficiency (Version 1),"7,500",379,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","March 06, 2025 at 02:53:27 UTC","March 16, 2025",693,"25,522","70,055","13,711","13,343","16,033","14,032","12,936","61,487","12,314","13,018","11,619","11,919","12,617","51,802","21,303","6,047","236,909"
340,2025-03-17,"March 17, 2025 at 15:33:36 UTC",Provincial Nominee Program,536,736,Provincial Nominee Program,"March 12, 2025 at 14:02:14 UTC","March 16, 2025",693,"25,522","70,055","13,711","13,343","16,033","14,032","12,936","61,487","12,314","13,018","11,619","11,919","12,617","51,802","21,303","6,047","236,909"
339,2025-03-06,"March 06, 2025 at 16:21:58 UTC",French language proficiency (Version 1),"4,500",410,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","February 11, 2025 at 07:47:29 UTC","March 3, 2025",807,"23,075","66,792","13,174","12,730","15,213","13,377","12,298","61,383","11,822","12,429","12,072","13,014","12,046","49,555","20,573","5,637","227,822"
338,2025-03-03,"March 03, 2025 at 15:15:56 UTC",Provincial Nominee Program,725,667,Provincial Nominee Program,"June 05, 2024 at 18:25:22 UTC","March 3, 2025",807,"23,075","66,792","13,174","12,730","15,213","13,377","12,298","61,383","11,822","12,429","12,072","13,014","12,046","49,555","20,573","5,637","227,822"
337,2025-02-19,"February 19, 2025 at 16:18:12 UTC",French language proficiency (Version 1),"6,500",428,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","February 10, 2025 at 16:41:38 UTC","February 16, 2025",768,"21,203","69,892","13,683","13,236","15,836","14,018","13,119","64,222","12,651","13,763","12,551","13,028","12,229","51,315","21,518","5,726","234,644"
336,2025-02-17,"February 17, 2025 at 14:42:17 UTC",Provincial Nominee Program,646,750,Provincial Nominee Program,"July 23, 2024 at 17:41:11 UTC","February 16, 2025",768,"21,203","69,892","13,683","13,236","15,836","14,018","13,119","64,222","12,651","13,763","12,551","13,028","12,229","51,315","21,518","5,726","234,644"
335,2025-02-05,"February 05, 2025 at 15:34:00 UTC",Canadian Experience Class,"4,000",521,Canadian Experience Class,"November 14, 2024 at 02:52:14 UTC","February 5, 2025",173,"23,165","68,910","13,487","13,003","15,652","13,815","12,953","63,508","12,567","13,621","12,432","12,833","12,055","51,079","21,576","5,641","234,052"
334,2025-02-04,"February 04, 2025 at 16:23:47 UTC",Provincial Nominee Program,455,802,Provincial Nominee Program,"December 07, 2024 at 19:39:25 UTC","February 4, 2025",468,"22,604","68,525","13,414","12,931","15,551","13,732","12,897","63,174","12,489","13,539","12,386","12,780","11,980","50,876","21,462","5,604","232,713"
333,2025-01-23,"January 23, 2025 at 2025-01-23 15:30:04 UTC",Canadian Experience Class,"4,000",527,Canadian Experience Class,"July 23, 2024 at 07:06:43 UTC","January 23, 2025",200,"24,001","67,548","13,126","12,866","15,392","13,483","12,681","62,426","12,256","13,389","12,205","12,667","11,909","51,213","21,903","5,633","232,924"
332,2025-01-08,"January 08, 2025 at 16:02:18 UTC",Canadian Experience Class,"1,350",542,Canadian Experience Class,"December 07, 2024 at 01:10:06 UTC","January 8, 2025",171,"23,240","65,699","12,811","12,492","14,965","13,034","12,397","60,704","11,938","13,030","11,901","12,224","11,611","50,607","21,788","5,554","227,763"
331,2025-01-07,"January 7, 2025 at 16:06:45 UTC",Provincial Nominee Program,471,793,Provincial Nominee Program,"November 25, 2024 at 16:57:27 UTC","January 7, 2025",633,"23,021","65,492","12,799","12,431","14,917","12,973","12,372","60,416","11,878","12,975","11,839","12,152","11,572","50,452","21,746","5,545","227,305"
330,2024-12-16,"December 16, 2024 at 15:13:20 UTC",Provincial Nominee Program,"1,085",727,Provincial Nominee Program,"September 18, 2024 at 13:39:10 UTC","December 16, 2024","1,203","19,885","63,369","12,355","11,984","14,379","12,610","12,041","58,543","11,456","12,511","11,400","11,788","11,388","50,506","22,183","5,621","221,310"
329,2024-12-03,"December 03, 2024 at 15:44:17 UTC",French language proficiency (Version 1),800,466,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","November 26, 2024 at 02:44:59 UTC","December 1, 2024",738,"18,673","62,985","12,316","11,905","14,371","12,521","11,872","57,590","11,219","12,313","11,217","11,602","11,239","50,609","22,280","5,615","218,490"
328,2024-12-02,"December 02, 2024 at 15:37:54 UTC",Provincial Nominee Program,676,705,Provincial Nominee Program,"November 27, 2024 at 18:15:17 UTC","December 1, 2024",738,"18,673","62,985","12,316","11,905","14,371","12,521","11,872","57,590","11,219","12,313","11,217","11,602","11,239","50,609","22,280","5,615","218,490"
327,2024-11-20,"November 20, 2024 at 15:06:25 UTC",Healthcare occupations (Version 1),"3,000",463,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","October 21, 2024 at 16:12:39 UTC","November 18, 2024",100,"16,495","64,596","12,208","12,318","15,238","13,141","11,691","57,062","11,045","12,196","11,113","11,463","11,245","51,434","22,865","5,615","218,167"
326,2024-11-19,"November 19, 2024 at 14:38:41 UTC",Canadian Experience Class,400,539,Canadian Experience Class,"July 08, 2024 at 01:41:37 UTC","November 18, 2024",100,"16,495","64,596","12,208","12,318","15,238","13,141","11,691","57,062","11,045","12,196","11,113","11,463","11,245","51,434","22,865","5,615","218,167"
325,2024-11-18,"November 18, 2024 at 15:50:45 UTC",Provincial Nominee Program,174,816,Provincial Nominee Program,"August 28, 2024 at 05:12:34 UTC","November 17, 2024",225,"16,318","64,394","12,182","12,279","15,185","13,113","11,635","56,943","11,009","12,183","11,090","11,425","11,236","51,361","22,804","5,603","217,648"
324,2024-11-15,"November 15, 2024 at 13:37:27 UTC",French language proficiency (Version 1),800,478,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","November 07, 2024 at 13:12:03 UTC","November 12, 2024",120,"16,625","64,425","12,290","12,382","15,160","13,062","11,531","56,597","10,978","12,107","10,996","11,359","11,157","51,355","22,788","5,590","217,500"
323,2024-11-13,"November 13, 2024 at 15:58:05 UTC",Canadian Experience Class,400,547,Canadian Experience Class,"April 10, 2024 at 03:58:05 UTC","November 12, 2024",120,"16,625","64,425","12,290","12,382","15,160","13,062","11,531","56,597","10,978","12,107","10,996","11,359","11,157","51,355","22,788","5,590","217,500"
322,2024-11-12,"November 12, 2024 at 16:12:30 UTC",Provincial Nominee Program,733,812,Provincial Nominee Program,March 02. 2024 at 01:58:34 UTC,"November 11, 2024",810,"16,245","64,079","12,239","12,309","15,075","12,974","11,482","56,206","10,870","12,049","10,907","11,317","11,063","51,137","22,710","5,548","216,735"
321,2024-10-23,"October 23, 2024 at 14:48:28 UTC",Trade occupations (Version 1),"1,800",433,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","March 12, 2024 at 14:30:36 UTC","October 22, 2024",124,"13,430","63,285","11,925","12,240","14,914","12,900","11,306","55,503","10,931","12,047","10,583","11,071","10,871","51,048","22,928","5,462","211,780"
320,2024-10-22,"October 22, 2024 at 14:07:18 UTC",Canadian Experience Class,400,539,Canadian Experience Class,"October 19, 2024 at 21:53:18 UTC","October 22, 2024",124,"13,430","63,285","11,925","12,240","14,914","12,900","11,306","55,503","10,931","12,047","10,583","11,071","10,871","51,048","22,928","5,462","211,780"
319,2024-10-21,"October 21, 2024 at 15:12:14 UTC",Provincial Nominee Program,648,791,Provincial Nominee Program,"August 13, 2024 at 20:04:52 UTC","October 21, 2024",705,"13,209","63,152","11,903","12,232","14,872","12,856","11,289","55,371","10,903","12,019","10,558","11,046","10,845","50,989","22,920","5,441","211,787"
318,2024-10-10,"October 10, 2024 at 15:45:35 UTC",French language proficiency (Version 1),"1,000",444,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","September 27, 2024 at 18:56:32 UTC","October 9, 2024",216,"12,312","63,026","11,840","12,282","14,794","12,829","11,281","54,542","10,903","11,876","10,361","10,733","10,669","50,737","23,082","5,402","209,317"
317,2024-10-09,"October 09, 2024 at 14:22:23 UTC",Canadian Experience Class,500,539,Canadian Experience Class,"February 20, 2024 at 02:57:40 UTC","October 9, 2024",216,"12,312","63,026","11,840","12,282","14,794","12,829","11,281","54,542","10,903","11,876","10,361","10,733","10,669","50,737","23,082","5,402","209,317"
316,2024-10-07,"October 7, 2024 at 15:02:50 UTC",Provincial Nominee Program,"1,613",743,Provincial Nominee Program,"March 22, 2024 at 18:36:54 UTC","October 7, 2024","1,656","11,800","62,853","11,815","12,236","14,729","12,818","11,255","54,313","10,845","11,804","10,340","10,707","10,617","50,741","23,155","5,374","209,892"
315,2024-09-19,"September 19, 2024 at 13:12:22 UTC",Canadian Experience Class,"4,000",509,Canadian Experience Class,"November 06, 2023 at 20:17:35 UTC","September 19, 2024",764,"11,752","61,769","11,352","12,110","14,582","12,690","11,035","53,270","10,655","11,528","10,102","10,598","10,387","51,137","23,613","5,457","207,762"
314,2024-09-13,"September 13, 2024 at 13:38:58 UTC",French language proficiency (Version 1),"1,000",446,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","August 28, 2024 at 17:07:19 UTC","September 9, 2024",937,"9,987","61,797","11,274","12,131","14,665","12,717","11,010","52,525","10,496","11,357","9,948","10,474","10,250","51,188","23,708","5,427","205,569"
313,2024-09-09,"September 09, 2024 at 15:42:40 UTC",Provincial Nominee Program,911,732,Provincial Nominee Program,"March 13, 2024 at 19:56:16 UTC","September 9, 2024",937,"9,987","61,797","11,274","12,131","14,665","12,717","11,010","52,525","10,496","11,357","9,948","10,474","10,250","51,188","23,708","5,427","205,569"
312,2024-08-27,"August 27, 2024 at 17:44:02 UTC",Canadian Experience Class,"3,300",507,Canadian Experience Class,"April 17, 2024 at 20:11:20 UTC","August 27, 2024",127,"9,764","61,133","10,918","12,038","14,722","12,676","10,779","51,863","10,259","11,142","9,814","10,493","10,155","52,363","24,396","5,491","205,137"
311,2024-08-26,"August 26, 2024 at 14:46:49 UTC",Provincial Nominee Program,"1,121",694,Provincial Nominee Program,"August 03, 2024 at 18:54:27 UTC","August 26, 2024","1,154","9,447","60,991","10,899","12,030","14,681","12,639","10,742","51,705","10,227","11,120","9,799","10,450","10,109","52,302","24,359","5,490","205,448"
310,2024-08-15,"August 15, 2024 at 2024-08-15 15:11:54 UTC",French language proficiency (Version 1),"2,000",394,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","July 07, 2024 at 09:46:10 UTC","August 14, 2024",125,"11,055","61,210","10,883","11,990","14,873","12,747","10,717","52,261","10,303","11,229","9,868","10,619","10,242","53,137","24,690","5,482","207,960"
309,2024-08-14,"August 14, 2024 at 14:04:45 UTC",Canadian Experience Class,"3,200",509,Canadian Experience Class,"March 01, 2024 at 19:23:21 UTC","August 14, 2024",125,"11,055","61,210","10,883","11,990","14,873","12,747","10,717","52,261","10,303","11,229","9,868","10,619","10,242","53,137","24,690","5,482","207,960"
308,2024-08-13,"August 13, 2024 at 14:57:21 UTC",Provincial Nominee Program,763,690,Provincial Nominee Program,"April 26, 2024 at 10:59:30 UTC","August 13, 2024",713,"10,502","60,902","10,780","11,959","14,813","12,705","10,645","51,992","10,256","11,169","9,845","10,539","10,183","53,052","24,695","5,463","207,319"
307,2024-07-31,"July 31, 2024 at 14:48:13 UTC",Canadian Experience Class,"5,000",510,Canadian Experience Class,"June 30, 2024 at 20:39:14 UTC","July 31, 2024",105,"12,455","60,511","10,172","12,015","14,994","12,656","10,674","51,969","10,137","11,183","9,798","10,506","10,345","54,320","25,553","5,608","210,521"
306,2024-07-30,"July 30, 2024 at 15:25:21 UTC",Provincial Nominee Program,964,686,Provincial Nominee Program,"May 27, 2024 at 07:07:21 UTC","July 30, 2024","1,000","12,250","60,312","10,114","11,971","15,004","12,607","10,616","51,793","10,114","11,133","9,768","10,445","10,333","54,274","25,481","5,594","210,704"
305,2024-07-18,"July 18, 2024 at 14:58:28 UTC",French language proficiency (Version 1),"1,800",400,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","March 08, 2024 at 19:51:40 UTC","July 17, 2024",184,"16,968","60,115","9,982","11,852","15,120","12,616","10,545","52,635","10,067","11,020","9,701","10,888","10,959","54,597","25,669","5,567","215,735"
304,2024-07-17,"July 17, 2024 at 16:17:31 UTC",Canadian Experience Class,"6,300",515,Canadian Experience Class,"February 03, 2024 at 13:01:06 UTC","July 17, 2024",184,"16,968","60,115","9,982","11,852","15,120","12,616","10,545","52,635","10,067","11,020","9,701","10,888","10,959","54,597","25,669","5,567","215,735"
303,2024-07-16,"July 16, 2024 at 15:39:40 UTC",Provincial Nominee Program,"1,391",670,Provincial Nominee Program,"May 04, 2024 at 13:27:31 UTC","July 16, 2024","1,407","16,800","60,006","9,947","11,809","15,113","12,620","10,517","52,500","10,047","10,978","9,661","10,880","10,934","54,576","25,621","5,547","216,457"
302,2024-07-08,"July 08, 2024 at 14:01:33 UTC",French language proficiency (Version 1),"3,200",420,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","May 30, 2024 at 03:37:43 UTC","July 2, 2024",940,"16,521","64,761","10,295","12,447","16,371","13,883","11,765","54,148","11,031","11,342","9,947","10,876","10,952","54,902","25,752","5,523","222,547"
301,2024-07-05,"July 05, 2024 at 16:03:12 UTC",Healthcare occupations (Version 1),"3,750",445,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","May 07, 2024 at 21:27:04 UTC","July 2, 2024",940,"16,521","64,761","10,295","12,447","16,371","13,883","11,765","54,148","11,031","11,342","9,947","10,876","10,952","54,902","25,752","5,523","222,547"
300,2024-07-04,"July 4, 2024 at 13:30:48 UTC",Trade occupations (Version 1),"1,800",436,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","July 16, 2023 at 15:44:59 UTC","July 2, 2024",940,"16,521","64,761","10,295","12,447","16,371","13,883","11,765","54,148","11,031","11,342","9,947","10,876","10,952","54,902","25,752","5,523","222,547"
299,2024-07-02,"July 2, 2024 at 15:12:05 UTC",Provincial Nominee Program,920,739,Provincial Nominee Program,"February 02, 2024 at 11:38:43 UTC","July 2, 2024",940,"16,521","64,761","10,295","12,447","16,371","13,883","11,765","54,148","11,031","11,342","9,947","10,876","10,952","54,902","25,752","5,523","222,547"
298,2024-06-19,"June 19, 2024 at 14:37:26 UTC",Provincial Nominee Program,"1,499",663,Provincial Nominee Program,"January 19, 2024 at 10:10:40 UTC","May 30, 2024","3,002","14,330","63,451","8,880","12,132","16,800","13,840","11,799","54,200","11,026","11,086","9,989","10,927","11,172","57,086","27,247","5,624","224,940"
297,2024-05-31,"May 31, 2024 at12:48:30 UTC",Canadian Experience Class,"3,000",522,Canadian Experience Class,"March 19, 2024 at 18:58:58 UTC","May 29, 2024","2,918","14,211","63,353","8,855","12,120","16,805","13,828","11,745","54,078","11,022","11,023","9,977","10,900","11,156","57,028","27,210","5,606","224,404"
296,2024-05-30,"May 30, 2024 at 14:59:31 UTC",Provincial Nominee Program,"2,985",676,Provincial Nominee Program,"January 19, 2024 at 18:32:21 UTC","May 29, 2024","2,918","14,211","63,353","8,855","12,120","16,805","13,828","11,745","54,078","11,022","11,023","9,977","10,900","11,156","57,028","27,210","5,606","224,404"
295,2024-04-24,"April 24, 2024 at 14:10:42 UTC",French language proficiency (Version 1),"1,400",410,"Federal Skilled Worker Program, Canadian Experience Class and Federal Skilled Trades Program","April 07, 2024 at 02:06:46 UTC","April 23, 2024","1,057","10,625","60,933","7,520","11,495","16,928","13,558","11,432","52,475","10,646","10,645","9,645","10,740","10,799","56,383","27,740","5,484","214,697"
